sims=2000 perms=1000 alpha=0.05 power_target=0.8 kappa=10

== RESOLVE regime (delta = improvement in B resolve rate) ==
 pairs  reps    p0     MDE
    15     3  0.05   0.250
    15     3  0.10   0.275
    15     3  0.20   0.325
    15     5  0.05   0.175
    15     5  0.10   0.200
    15     5  0.20   0.250
    25     3  0.05   0.175
    25     3  0.10   0.200
    25     3  0.20   0.225
    25     5  0.05   0.125
    25     5  0.10   0.150
    25     5  0.20   0.175
    40     3  0.05   0.125
    40     3  0.10   0.150
    40     3  0.20   0.175
    40     5  0.05   0.100
    40     5  0.10   0.125
    40     5  0.20   0.125

== PROCESS regime (delta = reduction in wrong-file-edit rate, p0=0.8) ==
    15     3  0.80   0.300
    15     5  0.80   0.250
    25     3  0.80   0.225
    25     5  0.80   0.175
    40     3  0.80   0.175
    40     5  0.80   0.125
