audit_id,auto_consulted,auto_deep_read,auto_read_before_edit,auto_first_read_turn,auto_deep_read_turn
A01,1,1,1,0.0,0.0
A02,1,1,1,0.0,0.0
A03,1,1,1,0.0,0.0
A04,1,1,1,0.0,0.0
A05,1,1,1,0.0,0.0
A06,1,1,1,0.0,0.0
A07,1,1,1,0.0,0.0
A08,1,1,1,0.0,0.0
A09,1,1,1,0.0,0.0
A10,1,1,1,0.0,0.0
A11,1,1,1,0.0,0.0
A12,1,1,1,0.0,0.0
A13,1,1,1,0.0,0.0
A14,1,1,1,0.0,0.0
A15,1,1,1,0.0,0.0
A16,1,1,1,0.0,0.0
A17,1,1,1,0.0,0.0
A18,1,1,1,0.0,0.0
A19,1,1,1,0.0,0.0
A20,1,1,1,0.0,0.0
A21,1,1,1,0.0,0.0
A22,0,0,0,,
A23,1,1,1,0.0,0.0
A24,1,1,1,0.0,0.0
A25,1,1,1,0.0,0.0
A26,1,1,1,0.0,0.0
A27,1,1,1,0.0,0.0
A28,1,1,1,0.0,0.0
A29,0,0,0,,
A30,1,1,1,0.0,0.0
A31,1,1,1,0.0,0.0
A32,1,1,1,0.0,0.0
A33,1,1,1,0.0,0.0
A34,1,1,1,0.0,0.0
A35,1,1,1,0.0,0.0
A36,1,1,1,0.0,0.0
A37,1,1,1,0.0,0.0
A38,1,1,1,0.0,0.0
A39,1,1,1,0.0,0.0
A40,1,1,1,0.0,0.0
