arm,pair,b_id,slug,file_hit,sym_hit,file_frac,sym_frac,jaccard,n_gold_files,n_gold_syms
blind,pair_11815_12125,django__django-12125,django,True,False,1.0,0.0,0.010822510822510822,1,1
oracle,pair_11815_12125,django__django-12125,django,False,False,0.0,0.0,0.029411764705882353,1,1
blind,pair_12125_14580,django__django-14580,django,True,False,1.0,0.0,0.008676789587852495,1,1
oracle,pair_12125_14580,django__django-14580,django,False,False,0.0,0.0,0.013513513513513514,1,1
blind,pair_13343_16493,django__django-16493,django,False,True,0.0,1.0,0.00646551724137931,1,1
oracle,pair_13343_16493,django__django-16493,django,False,True,0.0,1.0,0.0,1,1
blind,pair_13786_15499,django__django-15499,django,True,True,1.0,1.0,0.01282051282051282,1,1
oracle,pair_13786_15499,django__django-15499,django,False,False,0.0,0.0,0.028985507246376812,1,1
blind,pair_15161_17087,django__django-17087,django,True,False,1.0,0.0,0.008639308855291577,1,1
oracle,pair_15161_17087,django__django-17087,django,False,False,0.0,0.0,0.013513513513513514,1,1
blind,pair_15268_16819,django__django-16819,django,True,True,1.0,0.3333333333333333,0.015053763440860216,1,3
oracle,pair_15268_16819,django__django-16819,django,False,False,0.0,0.0,0.029850746268656716,1,3
blind,pair_15499_16595,django__django-16595,django,True,False,1.0,0.0,0.00646551724137931,1,1
oracle,pair_15499_16595,django__django-16595,django,False,False,0.0,0.0,0.014492753623188406,1,1
blind,pair_16595_16819,django__django-16819,django,True,True,1.0,0.3333333333333333,0.015053763440860216,1,3
oracle,pair_16595_16819,django__django-16819,django,False,False,0.0,0.0,0.01818181818181818,1,3
blind,pair_3305_4687,pydata__xarray-4687,xarray,True,True,1.0,0.5,0.045180722891566265,1,2
oracle,pair_3305_4687,pydata__xarray-4687,xarray,False,False,0.0,0.0,0.058823529411764705,1,2
blind,pair_4629_7229,pydata__xarray-7229,xarray,True,True,1.0,1.0,0.07514450867052024,1,1
oracle,pair_4629_7229,pydata__xarray-7229,xarray,False,False,0.0,0.0,0.029411764705882353,1,1
blind,pair_4687_6461,pydata__xarray-6461,xarray,True,True,1.0,1.0,0.006230529595015576,1,1
oracle,pair_4687_6461,pydata__xarray-6461,xarray,False,False,0.0,0.0,0.014925373134328358,1,1
blind,pair_6461_7229,pydata__xarray-7229,xarray,True,True,1.0,1.0,0.07514450867052024,1,1
oracle,pair_6461_7229,pydata__xarray-7229,xarray,False,True,0.0,1.0,0.06779661016949153,1,1
blind,pair_11066_15252,django__django-15252,django,True,False,1.0,0.0,0.019189765458422176,1,1
oracle,pair_11066_15252,django__django-15252,django,False,False,0.0,0.0,0.011627906976744186,1,1
blind,pair_11141_13820,django__django-13820,django,True,True,1.0,1.0,0.035196687370600416,1,1
oracle,pair_11141_13820,django__django-13820,django,False,False,0.0,0.0,0.037037037037037035,1,1
blind,pair_11299_15278,django__django-15278,django,True,False,1.0,0.0,0.02736842105263158,1,1
oracle,pair_11299_15278,django__django-15278,django,False,False,0.0,0.0,0.02631578947368421,1,1
blind,pair_12125_13343,django__django-13343,django,False,True,0.0,1.0,0.01072961373390558,1,1
