pair,rep,arm,iid,nonempty,gold_hit,resolved
3305_4687,1,D,pydata__xarray-4687,True,True,False
3305_4687,1,B,pydata__xarray-4687,False,False,False
3305_4687,1,E,pydata__xarray-4687,True,True,False
4687_6461,1,D,pydata__xarray-6461,True,False,False
4687_6461,1,B,pydata__xarray-6461,True,False,False
4687_6461,1,E,pydata__xarray-6461,False,False,False
6461_7229,1,D,pydata__xarray-7229,False,False,False
6461_7229,1,B,pydata__xarray-7229,True,True,False
6461_7229,1,E,pydata__xarray-7229,True,True,False
4629_7229,1,D,pydata__xarray-7229,False,False,False
4629_7229,1,B,pydata__xarray-7229,True,True,False
4629_7229,1,E,pydata__xarray-7229,True,True,False
13786_15499,1,D,django__django-15499,True,True,False
13786_15499,1,B,django__django-15499,True,True,False
13786_15499,1,E,django__django-15499,True,False,False
15499_16595,1,D,django__django-16595,False,False,False
15499_16595,1,B,django__django-16595,False,False,False
15499_16595,1,E,django__django-16595,True,False,False
16595_16819,1,D,django__django-16819,True,False,False
16595_16819,1,B,django__django-16819,True,False,False
16595_16819,1,E,django__django-16819,True,True,False
15268_16819,1,D,django__django-16819,True,True,False
15268_16819,1,B,django__django-16819,True,False,False
15268_16819,1,E,django__django-16819,True,True,False
11815_12125,1,D,django__django-12125,True,False,False
11815_12125,1,B,django__django-12125,True,False,False
11815_12125,1,E,django__django-12125,False,False,False
12125_14580,1,D,django__django-14580,True,False,False
12125_14580,1,B,django__django-14580,True,False,False
12125_14580,1,E,django__django-14580,True,False,False
13343_16493,1,D,django__django-16493,False,False,False
13343_16493,1,B,django__django-16493,False,False,False
13343_16493,1,E,django__django-16493,False,False,False
15161_17087,1,D,django__django-17087,False,False,False
15161_17087,1,B,django__django-17087,True,False,False
15161_17087,1,E,django__django-17087,True,False,False
3305_4687,2,D,pydata__xarray-4687,True,True,False
3305_4687,2,B,pydata__xarray-4687,False,False,False
3305_4687,2,E,pydata__xarray-4687,True,True,False
4687_6461,2,D,pydata__xarray-6461,True,False,False
4687_6461,2,B,pydata__xarray-6461,False,False,False
4687_6461,2,E,pydata__xarray-6461,False,False,False
6461_7229,2,D,pydata__xarray-7229,False,False,False
6461_7229,2,B,pydata__xarray-7229,True,True,False
6461_7229,2,E,pydata__xarray-7229,True,True,False
4629_7229,2,D,pydata__xarray-7229,False,False,False
4629_7229,2,B,pydata__xarray-7229,True,True,False
4629_7229,2,E,pydata__xarray-7229,True,True,False
13786_15499,2,D,django__django-15499,True,True,False
13786_15499,2,B,django__django-15499,True,True,False
13786_15499,2,E,django__django-15499,True,False,False
15499_16595,2,D,django__django-16595,False,False,False
15499_16595,2,B,django__django-16595,False,False,False
15499_16595,2,E,django__django-16595,True,False,False
16595_16819,2,D,django__django-16819,True,False,False
16595_16819,2,B,django__django-16819,True,False,False
16595_16819,2,E,django__django-16819,True,True,False
15268_16819,2,D,django__django-16819,True,True,False
15268_16819,2,B,django__django-16819,True,False,False
15268_16819,2,E,django__django-16819,True,True,False
11815_12125,2,D,django__django-12125,True,False,False
11815_12125,2,B,django__django-12125,True,False,False
11815_12125,2,E,django__django-12125,False,False,False
12125_14580,2,D,django__django-14580,True,False,False
12125_14580,2,B,django__django-14580,True,False,False
12125_14580,2,E,django__django-14580,True,False,False
13343_16493,2,D,django__django-16493,False,False,False
13343_16493,2,B,django__django-16493,False,False,False
13343_16493,2,E,django__django-16493,False,False,False
15161_17087,2,D,django__django-17087,False,False,False
15161_17087,2,B,django__django-17087,True,False,False
15161_17087,2,E,django__django-17087,True,False,False
3305_4687,3,D,pydata__xarray-4687,True,True,False
3305_4687,3,B,pydata__xarray-4687,False,False,False
3305_4687,3,E,pydata__xarray-4687,True,True,False
4687_6461,3,D,pydata__xarray-6461,True,False,False
4687_6461,3,B,pydata__xarray-6461,False,False,False
4687_6461,3,E,pydata__xarray-6461,False,False,False
6461_7229,3,D,pydata__xarray-7229,False,False,False
6461_7229,3,B,pydata__xarray-7229,True,True,False
6461_7229,3,E,pydata__xarray-7229,True,True,False
4629_7229,3,D,pydata__xarray-7229,False,False,False
4629_7229,3,B,pydata__xarray-7229,True,True,False
4629_7229,3,E,pydata__xarray-7229,True,True,False
13786_15499,3,D,django__django-15499,True,True,False
13786_15499,3,B,django__django-15499,True,True,False
13786_15499,3,E,django__django-15499,True,False,False
15499_16595,3,D,django__django-16595,False,False,False
15499_16595,3,B,django__django-16595,False,False,False
15499_16595,3,E,django__django-16595,True,False,False
16595_16819,3,D,django__django-16819,True,False,False
16595_16819,3,B,django__django-16819,True,False,False
16595_16819,3,E,django__django-16819,True,True,False
15268_16819,3,D,django__django-16819,True,True,False
15268_16819,3,B,django__django-16819,True,False,False
15268_16819,3,E,django__django-16819,True,True,False
11815_12125,3,D,django__django-12125,True,False,False
11815_12125,3,B,django__django-12125,True,False,False
11815_12125,3,E,django__django-12125,True,False,False
12125_14580,3,D,django__django-14580,True,False,False
12125_14580,3,B,django__django-14580,True,False,False
12125_14580,3,E,django__django-14580,True,False,False
