arm,pair,rep,gold_hit,resolved,tok
A2,4629_4687,1,False,False,
C2,4629_4687,1,True,False,40357.0
Co,4629_4687,1,True,True,71644.0
A2,6461_7229,1,True,False,68868.0
C2,6461_7229,1,True,False,31413.0
Co,6461_7229,1,True,False,19952.0
A2,13786_15268,1,True,True,62031.0
C2,13786_15268,1,True,True,51607.0
Co,13786_15268,1,True,False,27523.0
A2,16595_16819,1,True,True,20889.0
C2,16595_16819,1,True,True,40186.0
Co,16595_16819,1,True,True,13099.0
A2,12125_13343,1,True,True,7535.0
C2,12125_13343,1,True,True,8432.0
Co,12125_13343,1,True,True,12189.0
A2,14580_15161,1,True,True,21787.0
C2,14580_15161,1,True,True,21676.0
Co,14580_15161,1,True,True,20915.0
A2,15161_16493,1,False,False,2644.0
C2,15161_16493,1,True,True,8047.0
Co,15161_16493,1,True,True,9048.0
A2,8459_9673,1,True,True,42221.0
C2,8459_9673,1,True,True,19726.0
Co,8459_9673,1,True,True,24988.0
A2,9591_9602,1,True,False,99779.0
C2,9591_9602,1,True,False,67471.0
Co,9591_9602,1,True,False,35839.0
A2,7889_9658,1,False,False,153571.0
C2,7889_9658,1,True,True,72376.0
Co,7889_9658,1,True,False,143058.0
A2,8035_8593,1,True,True,41560.0
C2,8035_8593,1,True,True,20447.0
Co,8035_8593,1,False,False,
A2,11066_15252,1,False,False,16419.0
C2,11066_15252,1,False,False,13765.0
Co,11066_15252,1,False,False,56642.0
A2,11141_13820,1,True,True,6445.0
C2,11141_13820,1,True,True,7377.0
Co,11141_13820,1,True,True,8069.0
A2,11299_15278,1,True,True,34172.0
C2,11299_15278,1,True,True,22811.0
Co,11299_15278,1,True,True,16047.0
A2,15278_15561,1,False,False,95125.0
C2,15278_15561,1,True,True,7854.0
Co,15278_15561,1,True,True,23086.0
A2,3095_7393,1,True,True,82792.0
C2,3095_7393,1,True,True,64278.0
Co,3095_7393,1,True,False,49253.0
A2,4629_4687,2,True,False,30203.0
C2,4629_4687,2,True,True,30607.0
Co,4629_4687,2,True,True,63639.0
A2,6461_7229,2,True,False,100641.0
C2,6461_7229,2,True,False,181256.0
Co,6461_7229,2,True,False,54259.0
A2,13786_15268,2,True,True,103929.0
C2,13786_15268,2,True,True,80220.0
Co,13786_15268,2,False,False,
A2,16595_16819,2,True,True,32642.0
C2,16595_16819,2,True,True,24444.0
Co,16595_16819,2,True,True,7065.0
A2,12125_13343,2,True,True,10670.0
C2,12125_13343,2,True,True,12861.0
Co,12125_13343,2,True,True,9335.0
A2,14580_15161,2,True,True,31081.0
C2,14580_15161,2,True,True,24864.0
Co,14580_15161,2,True,True,27725.0
A2,15161_16493,2,True,True,5855.0
C2,15161_16493,2,True,True,6931.0
Co,15161_16493,2,True,True,14873.0
A2,8459_9673,2,True,False,40245.0
C2,8459_9673,2,True,True,23290.0
Co,8459_9673,2,True,True,19037.0
A2,9591_9602,2,True,False,64273.0
C2,9591_9602,2,True,False,65549.0
Co,9591_9602,2,True,False,29956.0
A2,7889_9658,2,False,False,186885.0
C2,7889_9658,2,False,False,108129.0
Co,7889_9658,2,True,False,108441.0
A2,8035_8593,2,True,True,43234.0
C2,8035_8593,2,True,False,28337.0
Co,8035_8593,2,True,False,31922.0
A2,11066_15252,2,False,False,23567.0
C2,11066_15252,2,False,False,50747.0
Co,11066_15252,2,False,False,46157.0
A2,11141_13820,2,True,True,6502.0
C2,11141_13820,2,True,True,7420.0
Co,11141_13820,2,True,True,11837.0
A2,11299_15278,2,True,True,12511.0
C2,11299_15278,2,True,True,13463.0
Co,11299_15278,2,True,True,12472.0
A2,15278_15561,2,True,True,13015.0
C2,15278_15561,2,True,True,104124.0
Co,15278_15561,2,True,True,5388.0
A2,3095_7393,2,False,False,
