arm,rep,iid,repo,gold_hit,submitted,consulted,deep_read,read_before_edit,prompt_tokens,completion_tokens,ctx_tokens
B,1,astropy__astropy-12907,astropy,0,0,0,0,0,65121,5490,0
B,1,astropy__astropy-13033,astropy,0,1,0,0,0,64377,3381,0
B,1,astropy__astropy-13236,astropy,1,1,0,0,0,16596,2356,0
B,1,astropy__astropy-13398,astropy,0,0,0,0,0,84095,6454,0
B,1,astropy__astropy-13453,astropy,0,0,0,0,0,71346,5170,0
B,1,astropy__astropy-13579,astropy,0,0,0,0,0,91241,3575,0
B,1,astropy__astropy-13977,astropy,1,1,0,0,0,6856,1045,0
B,1,astropy__astropy-14096,astropy,1,1,0,0,0,30926,3176,0
B,1,astropy__astropy-14182,astropy,0,0,0,0,0,32376,2574,0
B,1,astropy__astropy-14309,astropy,1,1,0,0,0,10424,613,0
B,1,astropy__astropy-14365,astropy,1,1,0,0,0,23089,1615,0
B,1,astropy__astropy-14369,astropy,0,1,0,0,0,26643,1448,0
B,1,astropy__astropy-14508,astropy,1,1,0,0,0,59774,5297,0
B,1,astropy__astropy-14539,astropy,1,1,0,0,0,21018,2252,0
B,1,astropy__astropy-14598,astropy,0,1,0,0,0,19723,1357,0
B,1,astropy__astropy-14995,astropy,0,0,0,0,0,90117,6451,0
B,1,astropy__astropy-7166,astropy,0,0,0,0,0,38288,2776,0
B,1,astropy__astropy-7336,astropy,1,1,0,0,0,4540,927,0
B,1,astropy__astropy-7606,astropy,1,1,0,0,0,6114,776,0
B,1,astropy__astropy-7671,astropy,1,1,0,0,0,10029,1068,0
B,1,astropy__astropy-8707,astropy,1,1,0,0,0,15825,2511,0
B,1,astropy__astropy-8872,astropy,1,1,0,0,0,74997,3515,0
B,1,django__django-11087,django,0,0,0,0,0,84738,2618,0
B,1,django__django-11149,django,1,1,0,0,0,29871,3080,0
B,1,django__django-11206,django,1,1,0,0,0,23959,2853,0
B,1,django__django-11265,django,0,0,0,0,0,25795,2003,0
B,1,django__django-11555,django,0,1,0,0,0,30706,2472,0
B,1,django__django-11740,django,0,1,0,0,0,72989,3446,0
B,1,django__django-11790,django,1,1,0,0,0,25552,1877,0
B,1,django__django-11880,django,1,1,0,0,0,15839,1832,0
B,1,django__django-11885,django,1,1,0,0,0,85526,5304,0
B,1,django__django-11964,django,1,1,0,0,0,39782,1974,0
B,1,django__django-12039,django,1,1,0,0,0,13062,2280,0
B,1,django__django-12209,django,0,1,0,0,0,87500,7290,0
B,1,django__django-12276,django,1,1,0,0,0,38619,2456,0
B,1,django__django-12663,django,0,1,0,0,0,46861,2720,0
B,1,django__django-12708,django,1,1,0,0,0,13849,1562,0
B,1,django__django-12754,django,0,1,0,0,0,16651,1978,0
B,1,django__django-12774,django,1,1,0,0,0,62455,5073,0
B,1,django__django-13112,django,0,0,0,0,0,51524,3535,0
B,1,django__django-13121,django,1,1,0,0,0,72415,5262,0
B,1,django__django-13279,django,1,1,0,0,0,17572,2005,0
B,1,django__django-13344,django,0,1,0,0,0,28194,3382,0
B,1,django__django-13363,django,1,1,0,0,0,19743,1936,0
B,1,django__django-13410,django,0,0,0,0,0,19248,1718,0
B,1,django__django-13417,django,1,1,0,0,0,18913,2039,0
B,1,django__django-13512,django,1,1,0,0,0,10648,1101,0
B,1,django__django-13568,django,1,1,0,0,0,14697,3301,0
B,1,django__django-13807,django,1,1,0,0,0,52522,4501,0
B,1,django__django-13809,django,0,1,0,0,0,15785,2052,0
B,1,django__django-13821,django,0,1,0,0,0,8392,634,0
B,1,django__django-14122,django,0,0,0,0,0,34845,2418,0
B,1,django__django-14140,django,0,0,0,0,0,33556,2645,0
B,1,django__django-14373,django,1,1,0,0,0,20973,2058,0
B,1,django__django-14434,django,1,1,0,0,0,15962,1795,0
B,1,django__django-14539,django,1,1,0,0,0,28264,1464,0
B,1,django__django-14608,django,1,1,0,0,0,56821,3169,0
B,1,django__django-14672,django,1,1,0,0,0,31170,1617,0
B,1,django__django-14725,django,1,1,0,0,0,25505,2479,0
B,1,django__django-14752,django,1,1,0,0,0,21153,1818,0
B,1,django__django-14787,django,0,0,0,0,0,21331,1700,0
B,1,django__django-14915,django,1,1,0,0,0,15450,1793,0
B,1,django__django-14999,django,0,1,0,0,0,118623,3947,0
B,1,django__django-15037,django,0,1,0,0,0,40407,2711,0
B,1,django__django-15128,django,1,1,0,0,0,9884,701,0
B,1,django__django-15277,django,0,1,0,0,0,15266,1321,0
B,1,django__django-15280,django,0,1,0,0,0,35072,3100,0
B,1,django__django-15315,django,0,0,0,0,0,48888,2617,0
B,1,django__django-15375,django,1,1,0,0,0,24612,2635,0
