arm,pair,rep,iid,nonempty,gold_hit,resolved
A,3305_4687,1,pydata__xarray-4687,True,True,False
A,4687_6461,1,pydata__xarray-6461,True,True,True
A,6461_7229,1,pydata__xarray-7229,True,True,False
A,4629_7229,1,pydata__xarray-7229,True,True,False
A,13786_15499,1,django__django-15499,True,True,True
A,15499_16595,1,django__django-16595,True,True,True
A,16595_16819,1,django__django-16819,True,True,True
A,15268_16819,1,django__django-16819,True,True,True
A,11815_12125,1,django__django-12125,True,True,True
A,12125_14580,1,django__django-14580,True,True,True
A,13343_16493,1,django__django-16493,True,True,True
A,15161_17087,1,django__django-17087,True,True,True
A,3305_4687,2,pydata__xarray-4687,True,True,True
A,4687_6461,2,pydata__xarray-6461,True,True,True
A,6461_7229,2,pydata__xarray-7229,True,True,False
A,4629_7229,2,pydata__xarray-7229,True,True,False
A,13786_15499,2,django__django-15499,True,True,True
A,15499_16595,2,django__django-16595,True,True,True
A,16595_16819,2,django__django-16819,True,True,True
A,15268_16819,2,django__django-16819,True,True,True
A,11815_12125,2,django__django-12125,True,True,False
A,12125_14580,2,django__django-14580,True,True,True
A,13343_16493,2,django__django-16493,True,True,True
A,15161_17087,2,django__django-17087,True,True,True
A,3305_4687,3,pydata__xarray-4687,True,True,True
A,4687_6461,3,pydata__xarray-6461,True,True,True
A,6461_7229,3,pydata__xarray-7229,True,True,False
A,4629_7229,3,pydata__xarray-7229,True,True,False
A,13786_15499,3,django__django-15499,True,True,True
A,15499_16595,3,django__django-16595,True,True,True
A,16595_16819,3,django__django-16819,True,True,True
A,15268_16819,3,django__django-16819,True,True,True
A,11815_12125,3,django__django-12125,True,True,True
A,12125_14580,3,django__django-14580,False,False,False
A,13343_16493,3,django__django-16493,False,False,False
A,15161_17087,3,django__django-17087,True,True,True
C,3305_4687,1,pydata__xarray-4687,True,True,False
C,4687_6461,1,pydata__xarray-6461,True,True,True
C,6461_7229,1,pydata__xarray-7229,True,True,False
C,4629_7229,1,pydata__xarray-7229,False,False,False
C,13786_15499,1,django__django-15499,True,True,True
C,15499_16595,1,django__django-16595,True,True,True
C,16595_16819,1,django__django-16819,True,True,True
C,15268_16819,1,django__django-16819,True,True,True
C,11815_12125,1,django__django-12125,False,False,False
C,12125_14580,1,django__django-14580,True,True,True
C,13343_16493,1,django__django-16493,True,True,True
C,15161_17087,1,django__django-17087,True,True,True
C,3305_4687,2,pydata__xarray-4687,True,True,False
C,4687_6461,2,pydata__xarray-6461,True,True,True
C,6461_7229,2,pydata__xarray-7229,False,False,False
C,4629_7229,2,pydata__xarray-7229,True,True,False
C,13786_15499,2,django__django-15499,True,True,True
C,15499_16595,2,django__django-16595,True,True,True
C,16595_16819,2,django__django-16819,True,True,True
C,15268_16819,2,django__django-16819,True,True,True
C,11815_12125,2,django__django-12125,True,True,True
C,12125_14580,2,django__django-14580,True,True,True
C,13343_16493,2,django__django-16493,True,True,True
C,15161_17087,2,django__django-17087,True,True,True
C,3305_4687,3,pydata__xarray-4687,True,True,False
C,4687_6461,3,pydata__xarray-6461,True,True,True
C,6461_7229,3,pydata__xarray-7229,True,True,False
C,4629_7229,3,pydata__xarray-7229,True,True,False
C,13786_15499,3,django__django-15499,True,True,True
C,15499_16595,3,django__django-16595,True,True,True
C,16595_16819,3,django__django-16819,True,True,True
C,15268_16819,3,django__django-16819,True,True,True
C,11815_12125,3,django__django-12125,False,False,False
C,12125_14580,3,django__django-14580,True,True,True
C,13343_16493,3,django__django-16493,True,True,True
C,15161_17087,3,django__django-17087,False,False,False
B,3305_4687,1,pydata__xarray-4687,False,False,False
B,4687_6461,1,pydata__xarray-6461,True,False,False
B,6461_7229,1,pydata__xarray-7229,True,True,False
B,4629_7229,1,pydata__xarray-7229,True,True,False
B,13786_15499,1,django__django-15499,True,True,False
B,15499_16595,1,django__django-16595,False,False,False
B,16595_16819,1,django__django-16819,True,False,False
B,15268_16819,1,django__django-16819,True,False,False
B,11815_12125,1,django__django-12125,True,False,False
B,12125_14580,1,django__django-14580,True,False,False
B,13343_16493,1,django__django-16493,False,False,False
B,15161_17087,1,django__django-17087,True,False,False
B,3305_4687,2,pydata__xarray-4687,False,False,False
B,4687_6461,2,pydata__xarray-6461,False,False,False
B,6461_7229,2,pydata__xarray-7229,True,True,False
B,4629_7229,2,pydata__xarray-7229,True,True,False
B,13786_15499,2,django__django-15499,True,True,False
B,15499_16595,2,django__django-16595,False,False,False
B,16595_16819,2,django__django-16819,True,False,False
