arm,pair,rep,iid,grp,nonempty,gold_hit,resolved
C2,4629_4687,1,pydata__xarray-4687,X1,True,True,False
A2,4629_4687,1,pydata__xarray-4687,X1,False,False,False
C2,6461_7229,1,pydata__xarray-7229,X1,True,True,False
A2,6461_7229,1,pydata__xarray-7229,X1,True,True,False
C2,13786_15268,1,django__django-15268,D1,True,True,True
A2,13786_15268,1,django__django-15268,D1,True,True,True
C2,16595_16819,1,django__django-16819,D1,True,True,True
A2,16595_16819,1,django__django-16819,D1,True,True,True
C2,12125_13343,1,django__django-13343,D2,True,True,True
A2,12125_13343,1,django__django-13343,D2,True,True,True
C2,14580_15161,1,django__django-15161,D2,True,True,True
A2,14580_15161,1,django__django-15161,D2,True,True,True
C2,15161_16493,1,django__django-16493,D2,True,True,True
A2,15161_16493,1,django__django-16493,D2,False,False,False
C2,8459_9673,1,sphinx-doc__sphinx-9673,S1,True,True,True
A2,8459_9673,1,sphinx-doc__sphinx-9673,S1,True,True,True
C2,9591_9602,1,sphinx-doc__sphinx-9602,S2,True,True,False
A2,9591_9602,1,sphinx-doc__sphinx-9602,S2,True,True,False
C2,7889_9658,1,sphinx-doc__sphinx-9658,S3,True,True,True
A2,7889_9658,1,sphinx-doc__sphinx-9658,S3,True,False,False
C2,8035_8593,1,sphinx-doc__sphinx-8593,S4,True,True,True
A2,8035_8593,1,sphinx-doc__sphinx-8593,S4,True,True,True
C2,11066_15252,1,django__django-15252,D3,True,False,False
A2,11066_15252,1,django__django-15252,D3,True,False,False
C2,11141_13820,1,django__django-13820,D4,True,True,True
A2,11141_13820,1,django__django-13820,D4,True,True,True
C2,11299_15278,1,django__django-15278,D5,True,True,True
A2,11299_15278,1,django__django-15278,D5,True,True,True
C2,15278_15561,1,django__django-15561,D5,True,True,True
A2,15278_15561,1,django__django-15561,D5,False,False,False
C2,3095_7393,1,pydata__xarray-7393,X2,True,True,True
A2,3095_7393,1,pydata__xarray-7393,X2,True,True,True
C2,4629_4687,2,pydata__xarray-4687,X1,True,True,True
A2,4629_4687,2,pydata__xarray-4687,X1,True,True,False
C2,6461_7229,2,pydata__xarray-7229,X1,True,True,False
A2,6461_7229,2,pydata__xarray-7229,X1,True,True,False
C2,13786_15268,2,django__django-15268,D1,True,True,True
A2,13786_15268,2,django__django-15268,D1,True,True,True
C2,16595_16819,2,django__django-16819,D1,True,True,True
A2,16595_16819,2,django__django-16819,D1,True,True,True
C2,12125_13343,2,django__django-13343,D2,True,True,True
A2,12125_13343,2,django__django-13343,D2,True,True,True
C2,14580_15161,2,django__django-15161,D2,True,True,True
A2,14580_15161,2,django__django-15161,D2,True,True,True
C2,15161_16493,2,django__django-16493,D2,True,True,True
A2,15161_16493,2,django__django-16493,D2,True,True,True
C2,8459_9673,2,sphinx-doc__sphinx-9673,S1,True,True,True
A2,8459_9673,2,sphinx-doc__sphinx-9673,S1,True,True,False
C2,9591_9602,2,sphinx-doc__sphinx-9602,S2,True,True,False
A2,9591_9602,2,sphinx-doc__sphinx-9602,S2,True,True,False
C2,7889_9658,2,sphinx-doc__sphinx-9658,S3,True,False,False
A2,7889_9658,2,sphinx-doc__sphinx-9658,S3,False,False,False
C2,8035_8593,2,sphinx-doc__sphinx-8593,S4,True,True,False
A2,8035_8593,2,sphinx-doc__sphinx-8593,S4,True,True,True
C2,11066_15252,2,django__django-15252,D3,True,False,False
A2,11066_15252,2,django__django-15252,D3,True,False,False
C2,11141_13820,2,django__django-13820,D4,True,True,True
A2,11141_13820,2,django__django-13820,D4,True,True,True
C2,11299_15278,2,django__django-15278,D5,True,True,True
A2,11299_15278,2,django__django-15278,D5,True,True,True
C2,15278_15561,2,django__django-15561,D5,True,True,True
A2,15278_15561,2,django__django-15561,D5,True,True,True
C2,3095_7393,2,pydata__xarray-7393,X2,True,True,True
A2,3095_7393,2,pydata__xarray-7393,X2,False,False,False
C2,4629_4687,3,pydata__xarray-4687,X1,True,True,True
A2,4629_4687,3,pydata__xarray-4687,X1,True,True,True
C2,6461_7229,3,pydata__xarray-7229,X1,True,True,False
A2,6461_7229,3,pydata__xarray-7229,X1,True,True,False
C2,13786_15268,3,django__django-15268,D1,True,True,True
A2,13786_15268,3,django__django-15268,D1,True,True,False
C2,16595_16819,3,django__django-16819,D1,True,True,True
A2,16595_16819,3,django__django-16819,D1,True,True,True
C2,12125_13343,3,django__django-13343,D2,True,True,True
A2,12125_13343,3,django__django-13343,D2,True,True,True
C2,14580_15161,3,django__django-15161,D2,True,True,True
A2,14580_15161,3,django__django-15161,D2,True,True,True
C2,15161_16493,3,django__django-16493,D2,True,True,True
A2,15161_16493,3,django__django-16493,D2,True,True,True
C2,8459_9673,3,sphinx-doc__sphinx-9673,S1,True,True,True
A2,8459_9673,3,sphinx-doc__sphinx-9673,S1,True,True,True
C2,9591_9602,3,sphinx-doc__sphinx-9602,S2,True,True,False
A2,9591_9602,3,sphinx-doc__sphinx-9602,S2,True,True,False
C2,7889_9658,3,sphinx-doc__sphinx-9658,S3,True,True,False
A2,7889_9658,3,sphinx-doc__sphinx-9658,S3,True,True,False
C2,8035_8593,3,sphinx-doc__sphinx-8593,S4,True,True,True
A2,8035_8593,3,sphinx-doc__sphinx-8593,S4,True,True,True
C2,11066_15252,3,django__django-15252,D3,True,False,False
A2,11066_15252,3,django__django-15252,D3,True,False,False
C2,11141_13820,3,django__django-13820,D4,True,True,True
A2,11141_13820,3,django__django-13820,D4,True,True,True
C2,11299_15278,3,django__django-15278,D5,True,True,True
A2,11299_15278,3,django__django-15278,D5,True,True,True
C2,15278_15561,3,django__django-15561,D5,True,True,True
A2,15278_15561,3,django__django-15561,D5,True,True,True
C2,3095_7393,3,pydata__xarray-7393,X2,True,True,True
A2,3095_7393,3,pydata__xarray-7393,X2,True,True,False
