tier,arm,pair,rep,iid,nonempty,gold_hit,resolved
1,B,3305_4687,1,pydata__xarray-4687,False,False,False
1,E,3305_4687,1,pydata__xarray-4687,True,True,False
1,Do,3305_4687,1,pydata__xarray-4687,True,True,False
1,B,4687_6461,1,pydata__xarray-6461,True,False,False
1,E,4687_6461,1,pydata__xarray-6461,False,False,False
1,Do,4687_6461,1,pydata__xarray-6461,True,True,True
1,B,6461_7229,1,pydata__xarray-7229,True,True,False
1,E,6461_7229,1,pydata__xarray-7229,True,True,False
1,Do,6461_7229,1,pydata__xarray-7229,True,True,False
1,B,4629_7229,1,pydata__xarray-7229,True,True,False
1,E,4629_7229,1,pydata__xarray-7229,True,True,False
1,Do,4629_7229,1,pydata__xarray-7229,True,False,False
1,B,13786_15499,1,django__django-15499,True,True,False
1,E,13786_15499,1,django__django-15499,True,False,False
1,Do,13786_15499,1,django__django-15499,True,True,False
1,B,15499_16595,1,django__django-16595,False,False,False
1,E,15499_16595,1,django__django-16595,True,False,False
1,Do,15499_16595,1,django__django-16595,True,True,False
1,B,16595_16819,1,django__django-16819,True,False,False
1,E,16595_16819,1,django__django-16819,True,True,False
1,Do,16595_16819,1,django__django-16819,True,True,False
1,B,15268_16819,1,django__django-16819,True,False,False
1,E,15268_16819,1,django__django-16819,True,True,False
1,Do,15268_16819,1,django__django-16819,True,False,False
1,B,11815_12125,1,django__django-12125,True,False,False
1,E,11815_12125,1,django__django-12125,False,False,False
1,Do,11815_12125,1,django__django-12125,True,False,False
1,B,12125_14580,1,django__django-14580,True,False,False
1,E,12125_14580,1,django__django-14580,True,False,False
1,Do,12125_14580,1,django__django-14580,True,False,False
1,B,13343_16493,1,django__django-16493,False,False,False
1,E,13343_16493,1,django__django-16493,False,False,False
1,Do,13343_16493,1,django__django-16493,False,False,False
1,B,15161_17087,1,django__django-17087,True,False,False
1,E,15161_17087,1,django__django-17087,True,False,False
1,Do,15161_17087,1,django__django-17087,False,False,False
1,B,3305_4687,2,pydata__xarray-4687,False,False,False
1,E,3305_4687,2,pydata__xarray-4687,True,True,False
1,Do,3305_4687,2,pydata__xarray-4687,True,True,False
1,B,4687_6461,2,pydata__xarray-6461,False,False,False
1,E,4687_6461,2,pydata__xarray-6461,False,False,False
1,Do,4687_6461,2,pydata__xarray-6461,True,True,True
1,B,6461_7229,2,pydata__xarray-7229,True,True,False
1,E,6461_7229,2,pydata__xarray-7229,True,True,False
1,Do,6461_7229,2,pydata__xarray-7229,True,True,False
1,B,4629_7229,2,pydata__xarray-7229,True,True,False
